,name,P.5,P.10,P.100,ndcg_cut.5,ndcg_cut.10,ndcg_cut.100,map,recip_rank
0,Basic TFIDF,0.3816,0.2476,0.0335,0.3837,0.3968,0.4378,0.361,0.588
1,Basic BM25,0.3965,0.2561,0.0348,0.3979,0.4105,0.4538,0.3754,0.6044
2,HTML TFIDF,0.4152,0.2707,0.0359,0.4148,0.4293,0.4703,0.3961,0.6178
3,HTML BM25,0.4294,0.2799,0.0369,0.4278,0.4427,0.484,0.4101,0.6334
4,Advanced TFIDF,0.4987,0.3325,0.0425,0.498,0.5226,0.5652,0.4887,0.7248
5,Advanced BM25,0.485,0.322,0.0421,0.4814,0.5042,0.5505,0.4729,0.7044
