,name,qid,measure,value
62017,Advanced BM25,101536,recip_rank,1.0
62018,Advanced BM25,101536,P.5,0.6
62019,Advanced BM25,101536,P.10,0.3
62020,Advanced BM25,101536,P.100,0.04
62021,Advanced BM25,101536,ndcg_cut.5,0.5221
62022,Advanced BM25,101536,ndcg_cut.10,0.4789
62023,Advanced BM25,101536,ndcg_cut.100,0.5437
62080,Advanced BM25,101575,map,0.0495
62081,Advanced BM25,101575,recip_rank,0.0909
62082,Advanced BM25,101575,P.5,0.0
62083,Advanced BM25,101575,P.10,0.0
62084,Advanced BM25,101575,P.100,0.03
62085,Advanced BM25,101575,ndcg_cut.5,0.0
62086,Advanced BM25,101575,ndcg_cut.10,0.0
62087,Advanced BM25,101575,ndcg_cut.100,0.2393
62128,Advanced BM25,101606,map,0.5458
62129,Advanced BM25,101606,recip_rank,0.5
62130,Advanced BM25,101606,P.5,0.6
62131,Advanced BM25,101606,P.10,0.3
62132,Advanced BM25,101606,P.100,0.04
62133,Advanced BM25,101606,ndcg_cut.5,0.6257
62134,Advanced BM25,101606,ndcg_cut.10,0.6257
62135,Advanced BM25,101606,ndcg_cut.100,0.6853
62184,Advanced BM25,101638,map,0.9667
62185,Advanced BM25,101638,recip_rank,1.0
62186,Advanced BM25,101638,P.5,0.8
62187,Advanced BM25,101638,P.10,0.5
62188,Advanced BM25,101638,P.100,0.05
62189,Advanced BM25,101638,ndcg_cut.5,0.6686
62190,Advanced BM25,101638,ndcg_cut.10,0.8241
62191,Advanced BM25,101638,ndcg_cut.100,0.8241
60312,Advanced BM25,10168,map,0.6889
60313,Advanced BM25,10168,recip_rank,1.0
60314,Advanced BM25,10168,P.5,0.6
60315,Advanced BM25,10168,P.10,0.4
60316,Advanced BM25,10168,P.100,0.04
60317,Advanced BM25,10168,ndcg_cut.5,0.6663
60318,Advanced BM25,10168,ndcg_cut.10,0.7426
60319,Advanced BM25,10168,ndcg_cut.100,0.7426
62424,Advanced BM25,101860,map,0.0042
62425,Advanced BM25,101860,recip_rank,0.025
62426,Advanced BM25,101860,P.5,0.0
62427,Advanced BM25,101860,P.10,0.0
62428,Advanced BM25,101860,P.100,0.01
62429,Advanced BM25,101860,ndcg_cut.5,0.0
62430,Advanced BM25,101860,ndcg_cut.10,0.0
62431,Advanced BM25,101860,ndcg_cut.100,0.0687
62640,Advanced BM25,101960,map,0.5
62641,Advanced BM25,101960,recip_rank,1.0
62642,Advanced BM25,101960,P.5,0.4
62643,Advanced BM25,101960,P.10,0.2
62644,Advanced BM25,101960,P.100,0.02
62645,Advanced BM25,101960,ndcg_cut.5,0.4948
62646,Advanced BM25,101960,ndcg_cut.10,0.4948
62647,Advanced BM25,101960,ndcg_cut.100,0.4948
62848,Advanced BM25,102076,map,1.0
62849,Advanced BM25,102076,recip_rank,1.0
62850,Advanced BM25,102076,P.5,1.0
62851,Advanced BM25,102076,P.10,0.7
62852,Advanced BM25,102076,P.100,0.07
62853,Advanced BM25,102076,ndcg_cut.5,0.8447
62854,Advanced BM25,102076,ndcg_cut.10,0.8678
62855,Advanced BM25,102076,ndcg_cut.100,0.8678
60432,Advanced BM25,10231,map,1.0
60433,Advanced BM25,10231,recip_rank,1.0
60434,Advanced BM25,10231,P.5,1.0
60435,Advanced BM25,10231,P.10,0.7
60436,Advanced BM25,10231,P.100,0.07
60437,Advanced BM25,10231,ndcg_cut.5,1.0
60438,Advanced BM25,10231,ndcg_cut.10,1.0
60439,Advanced BM25,10231,ndcg_cut.100,1.0
60448,Advanced BM25,10238,map,0.6433
60449,Advanced BM25,10238,recip_rank,1.0
60450,Advanced BM25,10238,P.5,0.8
60451,Advanced BM25,10238,P.10,0.4
60452,Advanced BM25,10238,P.100,0.04
60453,Advanced BM25,10238,ndcg_cut.5,0.6846
60454,Advanced BM25,10238,ndcg_cut.10,0.6846
60455,Advanced BM25,10238,ndcg_cut.100,0.6846
63736,Advanced BM25,102553,map,0.24
63737,Advanced BM25,102553,recip_rank,0.2
63738,Advanced BM25,102553,P.5,0.2
63739,Advanced BM25,102553,P.10,0.2
63740,Advanced BM25,102553,P.100,0.04
63741,Advanced BM25,102553,ndcg_cut.5,0.1649
63742,Advanced BM25,102553,ndcg_cut.10,0.2408
63743,Advanced BM25,102553,ndcg_cut.100,0.4493
60536,Advanced BM25,10311,map,0.71
60537,Advanced BM25,10311,recip_rank,0.5
60538,Advanced BM25,10311,P.5,0.8
60539,Advanced BM25,10311,P.10,0.5
60540,Advanced BM25,10311,P.100,0.05
60541,Advanced BM25,10311,ndcg_cut.5,0.6201
60542,Advanced BM25,10311,ndcg_cut.10,0.7103
60543,Advanced BM25,10311,ndcg_cut.100,0.7103
65552,Advanced BM25,103873,map,0.9267
65553,Advanced BM25,103873,recip_rank,1.0
65554,Advanced BM25,103873,P.5,0.8
65555,Advanced BM25,103873,P.10,0.5
65556,Advanced BM25,103873,P.100,0.05
65557,Advanced BM25,103873,ndcg_cut.5,0.7324
65558,Advanced BM25,103873,ndcg_cut.10,0.8617
65559,Advanced BM25,103873,ndcg_cut.100,0.8617
65672,Advanced BM25,103976,map,0.0318
65673,Advanced BM25,103976,recip_rank,0.1
65674,Advanced BM25,103976,P.5,0.0
65675,Advanced BM25,103976,P.10,0.1
65676,Advanced BM25,103976,P.100,0.02
65677,Advanced BM25,103976,ndcg_cut.5,0.0
65678,Advanced BM25,103976,ndcg_cut.10,0.1262
65679,Advanced BM25,103976,ndcg_cut.100,0.1688
60648,Advanced BM25,10405,map,1.0
60649,Advanced BM25,10405,recip_rank,1.0
60650,Advanced BM25,10405,P.5,1.0
60651,Advanced BM25,10405,P.10,0.8
60652,Advanced BM25,10405,P.100,0.08
60653,Advanced BM25,10405,ndcg_cut.5,0.8558
60654,Advanced BM25,10405,ndcg_cut.10,0.8851
60655,Advanced BM25,10405,ndcg_cut.100,0.8851
60656,Advanced BM25,10421,map,0.1064
60657,Advanced BM25,10421,recip_rank,0.1667
60658,Advanced BM25,10421,P.5,0.0
60659,Advanced BM25,10421,P.10,0.2
60660,Advanced BM25,10421,P.100,0.03
60661,Advanced BM25,10421,ndcg_cut.5,0.0
60662,Advanced BM25,10421,ndcg_cut.10,0.1943
60663,Advanced BM25,10421,ndcg_cut.100,0.2772
60664,Advanced BM25,10429,map,0.6
60665,Advanced BM25,10429,recip_rank,1.0
60666,Advanced BM25,10429,P.5,0.6
60667,Advanced BM25,10429,P.10,0.3
60668,Advanced BM25,10429,P.100,0.03
60669,Advanced BM25,10429,ndcg_cut.5,0.6663
60670,Advanced BM25,10429,ndcg_cut.10,0.6663
60671,Advanced BM25,10429,ndcg_cut.100,0.6663
60696,Advanced BM25,10443,map,0.125
60697,Advanced BM25,10443,recip_rank,0.5
60698,Advanced BM25,10443,P.5,0.2
60699,Advanced BM25,10443,P.10,0.1
60700,Advanced BM25,10443,P.100,0.01
60701,Advanced BM25,10443,ndcg_cut.5,0.301
60702,Advanced BM25,10443,ndcg_cut.10,0.301
60703,Advanced BM25,10443,ndcg_cut.100,0.301
66376,Advanced BM25,104484,map,0.5625
