,name,P.5,P.10,P.100,ndcg_cut.5,ndcg_cut.10,ndcg_cut.100,map,recip_rank
0,Basic TFIDF,0.4577,0.3011,0.0398,0.4561,0.4747,0.5211,0.442,0.6836
1,Basic BM25,0.4593,0.3038,0.04,0.4569,0.4778,0.5237,0.4452,0.6843
2,HTML TFIDF,0.4724,0.3134,0.0415,0.4699,0.4912,0.5397,0.4602,0.6956
3,HTML BM25,0.4783,0.318,0.0419,0.4746,0.497,0.5448,0.4659,0.6975
4,Advanced TFIDF,0.4664,0.3093,0.0413,0.4652,0.4871,0.5358,0.4544,0.6901
5,Advanced BM25,0.471,0.3134,0.0417,0.4694,0.4919,0.5408,0.4597,0.6918
